"names" "zcl" "c" "M"
1 0.42518091431862 3.06856868611149 1201099210997772
2 0.272264900336133 1.83008669602763 412228171399143
3 0.184566503727286 1.59696398302524 259632028186549
4 0.524704486103332 4.23198094392839 1675051360450080
5 0.36358643064203 1.84122060518204 1112108185658282
6 0.233340802688496 2.8077339065279 91044215645224.2
7 0.158647605428796 2.10347127267513 104380402196056
8 0.07540739394101 0.685473800423866 373313641448072
9 0.11223214659248 1.95447745446927 39433998436560.5
10 0.320974356741397 3.69925845775932 150613438417438
11 0.0568029360479063 1.50547025407629 20219440659564.1
12 0.395925203270234 4.3725370491587 184233294657733
13 0.106795920730807 0.891303278491438 246932605652628
14 0.333058963043574 2.07860477712758 707768730010382
15 0.144854799832769 2.54697589779231 31598195219401.9
16 0.387410816258413 2.98567334931016 640818698432987
17 0.351543110009312 2.92851469467313 396721211442477
18 0.42138212788805 6.52348094614336 147488467744314
19 0.42580061022757 2.23241695959702 1962454975967122
20 0.395150271407269 8.55964217904582 66057206630775.7
21 0.192110221715099 0.965189132269526 536400836853599
22 0.321555470650876 3.20469825964309 202739178853366
23 0.308708027493012 6.04021019869172 38339765306016.5
24 0.103415109323429 0.842095658126074 327353427435394
25 0.493319187008304 6.36483826312372 408965887737599
26 0.444367597705412 6.84668763792769 155386365390106
27 0.211958024292165 2.17609314066021 161027576636831
28 0.33403352251414 2.45009286135716 570295966422836
29 0.253863458728794 1.54766223154131 676942901768818
30 0.349635980495272 2.12835787241511 1008646562556560
31 0.518032472989409 5.07460044306553 632109787863756
32 0.197117712053039 1.62762490865219 190396408218324
33 0.181444099412126 3.46014727262399 31528953570032.3
34 0.282789957358668 2.3228247529925 266052466250881
35 0.416242719618381 3.3172973957952 807316510898849
36 0.540801922129384 5.7579688253367 577485604136663
37 0.275818761057578 3.54642790318288 104815405559706
38 0.420927728800287 2.29378342493027 1449984691294433
